assemblyLineTypeID,assemblyLineTypeName,description,baseTimeMultiplier,baseMaterialMultiplier,baseCostMultiplier,volume,activityID,minCostPerHour
2,Lab Slot,Copying,1.0000000000,1.0000000000,1.0000000000,1.0000000000,5,None
3,Ancient Relic Invention,Ancient Relic Invention,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,None
5,STATION copying,STATION copying,1.0000000000,1.0000000000,1.0000000000,1.0000000000,5,8.3333330000
6,STATION manufacturing,STATION manufacturing,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,333.0000000000
7,STATION material productivity,STATION material productivity,1.0000000000,1.0000000000,1.0000000000,1.0000000000,4,8.3333330000
8,STATION productivity time,STATION productivity time,1.0000000000,1.0000000000,1.0000000000,1.0000000000,3,8.3333330000
10,Capital Ship Assembly,Capital Ship Assembly,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
11,ME Research,ME Research,1.0000000000,1.0000000000,1.0000000000,1.0000000000,4,None
12,PE Research,PE Research,1.0000000000,1.0000000000,1.0000000000,1.0000000000,3,None
13,Manufacturing,Manufacturing,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,None
17,Small Ship Assembly Array,"Small Ship Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
18,Advanced Small Ship Assembly Array,"Advanced Small Ship Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
19,Medium Ship Assembly Array,"Medium Ship Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
20,Advanced Medium Ship Assembly Array,"Advanced Medium Ship Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
21,X Large Ship Assembly Array,"X Large Ship Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
22,Advanced Large Ship Assembly Array,"Advanced Large Ship Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
23,Rapid Equipment Assembly Array,"Rapid Equipment Assembly Array
",0.6500000000,1.0500000000,1.0000000000,1.0000000000,1,None
24,Equipment Assembly Array,"Equipment Assembly Array
",0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
25,Ammunition Assembly Array,Ammunition Assembly Array,0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
26,Drone Assembly Array,Drone Assembly Array,0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
27,Component Assembly Array,Component Assembly Array,0.7500000000,0.9800000000,1.0000000000,1.0000000000,1,None
28,Mobile Laboratory ME,Mobile Laboratory ME,0.7000000000,1.0000000000,1.0000000000,1.0000000000,4,None
29,Mobile Laboratory PE,Mobile Laboratory PE,0.7000000000,1.0000000000,1.0000000000,1.0000000000,3,None
30,Mobile Laboratory Copying,Mobile Laboratory Copying,0.7000000000,1.0000000000,1.0000000000,1.0000000000,5,None
31,Amarr Outpost Manufacturing,Amarr Outpost Manufacturing,0.7000000000,1.0000000000,1.0000000000,1.0000000000,1,None
32,Caldari Outpost ME Research,Caldari Outpost ME Research,0.7000000000,1.0000000000,1.0000000000,1.0000000000,4,None
33,Caldari Outpost PE Research,Caldari Outpost PE Research,0.7000000000,1.0000000000,1.0000000000,1.0000000000,3,None
